ID_Animal;Race;Age_Annees;Poids_Kg;Ration_Fourrage_Kg;Traitement_Antibio;Litres_Lait_Jour;Taux_Butyrique;Animal_ID;Alimentation_Kg_Jour
;Montbéliarde;7;767;;;16.9;;ANI-046;24.2
;Jersey;6;789;;;13.2;;ANI-047;27.2
;Montbéliarde;8;631;;;24.2;;ANI-048;17.3
;Normande;8;720;;;17.1;;ANI-049;24.5
;Jersey;3;686;;;18.3;;ANI-050;21.5
;Holstein;7;617;;;30.5;;ANI-051;18.0
;Montbéliarde;2;724;;;14.4;;ANI-052;21.0
;Normande;9;704;;;11.8;;ANI-053;24.1
;Holstein;7;611;;;29.4;;ANI-054;19.6
;Normande;6;682;;;24.4;;ANI-055;17.5
;Montbéliarde;8;726;;;19.8;;ANI-056;21.4
;Holstein;2;707;;;17.8;;ANI-057;25.7
;Jersey;7;628;;;17.8;;ANI-058;20.9
;Holstein;2;700;;;24.0;;ANI-059;20.8
;Montbéliarde;7;647;;;24.4;;ANI-060;20.3
;Holstein;7;462;;;21.9;;ANI-061;12.2
;Holstein;4;787;;;19.8;;ANI-062;23.4
;Jersey;8;464;;;12.9;;ANI-063;13.5
;Holstein;4;729;;;23.6;;ANI-064;20.4
;Jersey;5;623;;;24.2;;ANI-065;22.3
;Jersey;2;484;;;13.1;;ANI-066;13.2
;Jersey;9;509;;;16.5;;ANI-067;12.2
;Montbéliarde;4;522;;;20.1;;ANI-068;13.4
;Montbéliarde;8;694;;;21.9;;ANI-069;21.5
;Jersey;9;712;;;13.2;;ANI-070;24.3
;Holstein;7;684;;;26.2;;ANI-071;21.7
;Normande;3;418;;;15.4;;ANI-072;10.0
;Montbéliarde;8;673;;;21.7;;ANI-073;16.4
;Montbéliarde;3;719;;;17.3;;ANI-074;23.4
;Jersey;5;727;;;17.5;;ANI-075;22.0
;Montbéliarde;2;708;;;16.1;;ANI-076;22.8
;Montbéliarde;9;640;;;16.9;;ANI-077;22.1
;Jersey;8;664;;;16.7;;ANI-078;17.6
;Jersey;9;500;;;12.7;;ANI-079;15.2
;Normande;2;568;;;22.6;;ANI-080;15.8
;Holstein;4;712;;;21.4;;ANI-081;21.3
;Holstein;9;711;;;19.8;;ANI-082;23.5
;Jersey;7;607;;;16.9;;ANI-083;18.9
;Normande;3;647;;;20.7;;ANI-084;22.3
;Jersey;2;500;;;14.2;;ANI-085;17.8
;Holstein;9;713;;;14.8;;ANI-086;24.2
;Jersey;7;494;;;17.3;;ANI-087;10.0
;Jersey;7;668;;;19.5;;ANI-088;20.7
;Holstein;4;668;;;23.3;;ANI-089;22.6
;Holstein;6;728;;;21.9;;ANI-090;24.0
;Normande;3;513;;;17.3;;ANI-091;20.1
;Jersey;9;712;;;12.3;;ANI-092;20.3
;Normande;7;754;;;12.6;;ANI-093;24.7
;Jersey;9;771;;;11.3;;ANI-094;22.8
;Normande;3;675;;;17.7;;ANI-095;19.2
;Montbéliarde;6;472;;;19.7;;ANI-096;14.5
;Montbéliarde;6;588;;;30.5;;ANI-097;16.5
;Montbéliarde;5;626;;;21.6;;ANI-098;19.3
;Jersey;8;619;;;19.0;;ANI-099;20.4
;Jersey;6;733;;;19.3;;ANI-100;21.5
;Normande;7;445;;;13.5;;ANI-101;17.7
;Holstein;7;703;;;25.9;;ANI-102;24.3
;Jersey;5;501;;;21.4;;ANI-103;16.6
;Normande;8;473;;;16.1;;ANI-104;10.7
;Holstein;4;450;;;23.4;;ANI-105;16.0
;Normande;6;744;;;14.0;;ANI-106;22.4
;Jersey;8;493;;;16.9;;ANI-107;12.3
;Holstein;9;404;;;11.2;;ANI-108;10.0
;Montbéliarde;7;413;;;16.2;;ANI-109;15.6
