Mois;Type_Flux;Creances_Clients_Euros;Dettes_Fournisseurs_Euros;Delai_Paiement_Jours;Solde_Tresorerie_Euros;Taux_Interet_Pct;Transaction_ID;Categorie;Montant_Euros;Date_Trx;Solde_Apres_Trx_Euros
;Entrée;;;;;;TRX-096;Ventes;3406.0;2025-04-07;342104.0
;Entrée;;;;;;TRX-097;Investissements;46557.0;2025-04-08;388661.0
;Sortie;;;;;;TRX-098;Loyer;24646.0;2025-04-09;364015.0
;Sortie;;;;;;TRX-099;Équipement;20988.0;2025-04-10;343027.0
;Entrée;;;;;;TRX-100;Investissements;48763.0;2025-04-11;391790.0
;Sortie;;;;;;TRX-101;Fournisseurs;26347.0;2025-04-12;365443.0
;Sortie;;;;;;TRX-102;Marketing;18781.0;2025-04-13;346662.0
;Entrée;;;;;;TRX-103;Emprunts;4465.0;2025-04-14;351127.0
;Entrée;;;;;;TRX-104;Subventions;35820.0;2025-04-15;386947.0
;Entrée;;;;;;TRX-105;Ventes;33291.0;2025-04-16;420238.0
;Entrée;;;;;;TRX-106;Emprunts;49381.0;2025-04-17;469619.0
;Sortie;;;;;;TRX-107;Marketing;14695.0;2025-04-18;454924.0
;Sortie;;;;;;TRX-108;Équipement;16261.0;2025-04-19;438663.0
;Entrée;;;;;;TRX-109;Subventions;9086.0;2025-04-20;447749.0
;Entrée;;;;;;TRX-110;Investissements;12793.0;2025-04-21;460542.0
;Entrée;;;;;;TRX-111;Investissements;575.0;2025-04-22;461117.0
;Sortie;;;;;;TRX-112;Salaires;26157.0;2025-04-23;434960.0
;Sortie;;;;;;TRX-113;Salaires;7635.0;2025-04-24;427325.0
;Entrée;;;;;;TRX-114;Ventes;37141.0;2025-04-25;464466.0
;Entrée;;;;;;TRX-115;Ventes;43149.0;2025-04-26;507615.0
;Sortie;;;;;;TRX-116;Marketing;3379.0;2025-04-27;504236.0
;Sortie;;;;;;TRX-117;Marketing;8685.0;2025-04-28;495551.0
;Sortie;;;;;;TRX-118;Marketing;645.0;2025-04-29;494906.0
;Entrée;;;;;;TRX-119;Investissements;18498.0;2025-04-30;513404.0
;Entrée;;;;;;TRX-120;Emprunts;15806.0;2025-05-01;529210.0
;Entrée;;;;;;TRX-121;Investissements;12051.0;2025-05-02;541261.0
;Sortie;;;;;;TRX-122;Salaires;23072.0;2025-05-03;518189.0
;Sortie;;;;;;TRX-123;Fournisseurs;5406.0;2025-05-04;512783.0
;Sortie;;;;;;TRX-124;Équipement;4818.0;2025-05-05;507965.0
;Sortie;;;;;;TRX-125;Loyer;3690.0;2025-05-06;504275.0
;Entrée;;;;;;TRX-126;Investissements;24381.0;2025-05-07;528656.0
;Sortie;;;;;;TRX-127;Salaires;23126.0;2025-05-08;505530.0
;Entrée;;;;;;TRX-128;Investissements;15647.0;2025-05-09;521177.0
;Entrée;;;;;;TRX-129;Emprunts;12261.0;2025-05-10;533438.0
;Entrée;;;;;;TRX-130;Subventions;39935.0;2025-05-11;573373.0
;Entrée;;;;;;TRX-131;Investissements;25103.0;2025-05-12;598476.0
;Sortie;;;;;;TRX-132;Fournisseurs;2409.0;2025-05-13;596067.0
;Sortie;;;;;;TRX-133;Fournisseurs;15439.0;2025-05-14;580628.0
;Sortie;;;;;;TRX-134;Loyer;9576.0;2025-05-15;571052.0
;Sortie;;;;;;TRX-135;Marketing;9063.0;2025-05-16;561989.0
;Sortie;;;;;;TRX-136;Salaires;21142.0;2025-05-17;540847.0
;Entrée;;;;;;TRX-137;Emprunts;4661.0;2025-05-18;545508.0
;Entrée;;;;;;TRX-138;Ventes;43390.0;2025-05-19;588898.0
;Sortie;;;;;;TRX-139;Loyer;17327.0;2025-05-20;571571.0
;Sortie;;;;;;TRX-140;Équipement;26126.0;2025-05-21;545445.0
;Sortie;;;;;;TRX-141;Salaires;3865.0;2025-05-22;541580.0
;Sortie;;;;;;TRX-142;Marketing;8384.0;2025-05-23;533196.0
;Entrée;;;;;;TRX-143;Investissements;5598.0;2025-05-24;538794.0
;Sortie;;;;;;TRX-144;Fournisseurs;7333.0;2025-05-25;531461.0
;Sortie;;;;;;TRX-145;Salaires;20862.0;2025-05-26;510599.0
;Entrée;;;;;;TRX-146;Ventes;12740.0;2025-05-27;523339.0
;Entrée;;;;;;TRX-147;Emprunts;9790.0;2025-05-28;533129.0
;Entrée;;;;;;TRX-148;Emprunts;1627.0;2025-05-29;534756.0
;Entrée;;;;;;TRX-149;Emprunts;38410.0;2025-05-30;573166.0
;Entrée;;;;;;TRX-150;Emprunts;38623.0;2025-05-31;611789.0
;Sortie;;;;;;TRX-151;Équipement;4609.0;2025-06-01;607180.0
;Sortie;;;;;;TRX-152;Équipement;2484.0;2025-06-02;604696.0
;Sortie;;;;;;TRX-153;Équipement;286.0;2025-06-03;604410.0
;Entrée;;;;;;TRX-154;Ventes;8124.0;2025-06-04;612534.0
;Entrée;;;;;;TRX-155;Ventes;19661.0;2025-06-05;632195.0
;Entrée;;;;;;TRX-156;Ventes;21221.0;2025-06-06;653416.0
;Sortie;;;;;;TRX-157;Fournisseurs;27065.0;2025-06-07;626351.0
;Entrée;;;;;;TRX-158;Ventes;32952.0;2025-06-08;659303.0
;Entrée;;;;;;TRX-159;Emprunts;48427.0;2025-06-09;707730.0
;Sortie;;;;;;TRX-160;Fournisseurs;848.0;2025-06-10;706882.0
;Sortie;;;;;;TRX-161;Loyer;17884.0;2025-06-11;688998.0
;Entrée;;;;;;TRX-162;Ventes;3448.0;2025-06-12;692446.0
;Sortie;;;;;;TRX-163;Fournisseurs;18479.0;2025-06-13;673967.0
;Entrée;;;;;;TRX-164;Subventions;36608.0;2025-06-14;710575.0
;Entrée;;;;;;TRX-165;Subventions;23162.0;2025-06-15;733737.0
;Entrée;;;;;;TRX-166;Subventions;49013.0;2025-06-16;782750.0
;Sortie;;;;;;TRX-167;Salaires;18542.0;2025-06-17;764208.0
;Entrée;;;;;;TRX-168;Investissements;30129.0;2025-06-18;794337.0
;Sortie;;;;;;TRX-169;Fournisseurs;3028.0;2025-06-19;791309.0
;Entrée;;;;;;TRX-170;Subventions;6976.0;2025-06-20;798285.0
;Sortie;;;;;;TRX-171;Fournisseurs;26574.0;2025-06-21;771711.0
;Entrée;;;;;;TRX-172;Subventions;22840.0;2025-06-22;794551.0
;Entrée;;;;;;TRX-173;Investissements;1097.0;2025-06-23;795648.0
;Entrée;;;;;;TRX-174;Ventes;9258.0;2025-06-24;804906.0
;Entrée;;;;;;TRX-175;Subventions;31608.0;2025-06-25;836514.0
;Entrée;;;;;;TRX-176;Investissements;25888.0;2025-06-26;862402.0
;Entrée;;;;;;TRX-177;Emprunts;47115.0;2025-06-27;909517.0
;Entrée;;;;;;TRX-178;Ventes;30557.0;2025-06-28;940074.0
;Entrée;;;;;;TRX-179;Investissements;43428.0;2025-06-29;983502.0
;Entrée;;;;;;TRX-180;Ventes;38027.0;2025-06-30;1021529.0
;Sortie;;;;;;TRX-181;Marketing;3692.0;2025-07-01;1017837.0
;Sortie;;;;;;TRX-182;Fournisseurs;12504.0;2025-07-02;1005333.0
;Entrée;;;;;;TRX-183;Ventes;30227.0;2025-07-03;1035560.0
;Entrée;;;;;;TRX-184;Emprunts;19931.0;2025-07-04;1055491.0
;Sortie;;;;;;TRX-185;Marketing;7929.0;2025-07-05;1047562.0
;Entrée;;;;;;TRX-186;Investissements;25658.0;2025-07-06;1073220.0
;Sortie;;;;;;TRX-187;Loyer;13604.0;2025-07-07;1059616.0
;Sortie;;;;;;TRX-188;Marketing;25416.0;2025-07-08;1034200.0
;Sortie;;;;;;TRX-189;Marketing;27898.0;2025-07-09;1006302.0
;Entrée;;;;;;TRX-190;Subventions;37533.0;2025-07-10;1043835.0
;Entrée;;;;;;TRX-191;Investissements;14022.0;2025-07-11;1057857.0
;Entrée;;;;;;TRX-192;Ventes;20383.0;2025-07-12;1078240.0
;Sortie;;;;;;TRX-193;Marketing;17645.0;2025-07-13;1060595.0
;Sortie;;;;;;TRX-194;Salaires;28300.0;2025-07-14;1032295.0
;Entrée;;;;;;TRX-195;Investissements;20738.0;2025-07-15;1053033.0
;Sortie;;;;;;TRX-196;Équipement;27523.0;2025-07-16;1025510.0
;Entrée;;;;;;TRX-197;Subventions;27042.0;2025-07-17;1052552.0
;Entrée;;;;;;TRX-198;Emprunts;3475.0;2025-07-18;1056027.0
;Sortie;;;;;;TRX-199;Salaires;8096.0;2025-07-19;1047931.0
