Matricule;Departement;Anciennete_Annees;Heures_Sup_Mensuelles;Formation_Jours;Salaire_Brut_Mensuel;Score_Evaluation;Employe_ID;Poste;Salaire_Annuel_Euros;Performance_Note
;IT;15;;;;;EMP-105;SysAdmin;49967.0;5.2
;RH;8;;;;;EMP-106;Business Partner;40417.0;5.0
;Finance;7;;;;;EMP-107;Comptable;47200.0;5.2
;Marketing;17;;;;;EMP-108;SEO;34860.0;4.0
;Marketing;16;;;;;EMP-109;CM;39159.0;7.1
;Marketing;4;;;;;EMP-110;SEO;39575.0;5.1
;Finance;3;;;;;EMP-111;Analyste;40524.0;7.5
;Finance;9;;;;;EMP-112;Analyste;41494.0;6.2
;Production;3;;;;;EMP-113;Technicien;31149.0;6.3
;Ventes;10;;;;;EMP-114;Account Manager;44436.0;8.3
;Marketing;1;;;;;EMP-115;SEO;37579.0;6.6
;Marketing;16;;;;;EMP-116;Designer;36668.0;6.3
;Ventes;5;;;;;EMP-117;Account Manager;46961.0;8.1
;Production;17;;;;;EMP-118;Technicien;28899.0;4.7
;Marketing;2;;;;;EMP-119;SEO;37945.0;6.5
