Campagne_ID;Canal_Ad;Impressions;Cliquer_CTR_Pct;Cout_Par_Clic_CPC;Conversions;Cout_Acquisition_CAC;Budget_Journalier_Euros;Clics;CPA_Euros
CMP-035;SEO;14401;;;25;;359.0;371.0;14.36
CMP-036;LinkedIn Ads;20028;;;20;;404.0;384.0;20.2
CMP-037;Google Ads;20102;;;29;;457.0;708.0;15.76
CMP-038;LinkedIn Ads;1361;;;0;;30.0;16.0;30.0
CMP-039;Google Ads;23861;;;20;;460.0;797.0;23.0
CMP-040;Google Ads;7909;;;8;;186.0;271.0;23.25
CMP-041;Email;16716;;;81;;297.0;1022.0;3.67
CMP-042;Email;8753;;;32;;211.0;372.0;6.59
CMP-043;SEO;8549;;;15;;209.0;218.0;13.93
CMP-044;SEO;11544;;;12;;204.0;258.0;17.0
CMP-045;Facebook Ads;22364;;;19;;424.0;703.0;22.32
CMP-046;Email;27102;;;169;;459.0;1631.0;2.72
CMP-047;SEO;8706;;;9;;176.0;153.0;19.56
CMP-048;LinkedIn Ads;983;;;1;;20.0;18.0;20.0
CMP-049;LinkedIn Ads;2320;;;1;;50.0;38.0;50.0
CMP-050;SEO;3243;;;4;;68.0;68.0;17.0
CMP-051;LinkedIn Ads;12556;;;10;;301.0;226.0;30.1
CMP-052;LinkedIn Ads;16137;;;13;;366.0;233.0;28.15
CMP-053;LinkedIn Ads;2740;;;2;;64.0;39.0;32.0
CMP-054;LinkedIn Ads;17702;;;12;;298.0;285.0;24.83
CMP-055;Facebook Ads;19542;;;25;;405.0;614.0;16.2
CMP-056;Facebook Ads;21776;;;19;;497.0;596.0;26.16
CMP-057;LinkedIn Ads;2268;;;2;;41.0;41.0;20.5
CMP-058;Facebook Ads;15817;;;5;;339.0;279.0;67.8
CMP-059;SEO;14199;;;21;;252.0;323.0;12.0
CMP-060;Google Ads;8171;;;8;;167.0;304.0;20.88
CMP-061;Google Ads;28373;;;45;;478.0;1022.0;10.62
CMP-062;Facebook Ads;6344;;;3;;124.0;167.0;41.33
CMP-063;Facebook Ads;3876;;;2;;90.0;125.0;45.0
CMP-064;Email;12948;;;57;;283.0;759.0;4.96
CMP-065;SEO;22266;;;17;;442.0;315.0;26.0
CMP-066;Email;18432;;;88;;312.0;945.0;3.55
CMP-067;Email;8093;;;35;;169.0;327.0;4.83
CMP-068;SEO;4507;;;6;;112.0;113.0;18.67
CMP-069;Google Ads;2241;;;3;;39.0;84.0;13.0
CMP-070;SEO;10040;;;12;;208.0;183.0;17.33
CMP-071;Facebook Ads;10843;;;11;;248.0;334.0;22.55
CMP-072;Facebook Ads;6744;;;3;;130.0;159.0;43.33
CMP-073;Google Ads;11227;;;12;;252.0;267.0;21.0
CMP-074;Email;8261;;;23;;145.0;401.0;6.3
CMP-075;Facebook Ads;22063;;;9;;436.0;514.0;48.44
CMP-076;LinkedIn Ads;6686;;;3;;127.0;93.0;42.33
CMP-077;LinkedIn Ads;17924;;;7;;432.0;211.0;61.71
CMP-078;Email;3623;;;16;;77.0;217.0;4.81
CMP-079;Email;15196;;;55;;269.0;538.0;4.89
CMP-080;Facebook Ads;9636;;;5;;206.0;196.0;41.2
CMP-081;LinkedIn Ads;12697;;;13;;257.0;240.0;19.77
CMP-082;Email;15005;;;46;;259.0;535.0;5.63
CMP-083;LinkedIn Ads;9413;;;3;;174.0;110.0;58.0
CMP-084;Email;21233;;;128;;450.0;1279.0;3.52
CMP-085;LinkedIn Ads;12387;;;4;;209.0;146.0;52.25
CMP-086;Facebook Ads;13725;;;7;;315.0;248.0;45.0
CMP-087;SEO;9240;;;11;;155.0;193.0;14.09
CMP-088;Facebook Ads;15313;;;15;;328.0;448.0;21.87
CMP-089;LinkedIn Ads;18541;;;15;;324.0;222.0;21.6
CMP-090;Facebook Ads;23855;;;10;;468.0;474.0;46.8
CMP-091;Google Ads;15610;;;22;;277.0;488.0;12.59
CMP-092;Facebook Ads;21356;;;22;;436.0;587.0;19.82
CMP-093;Email;11125;;;36;;222.0;395.0;6.17
CMP-094;Facebook Ads;19832;;;7;;431.0;370.0;61.57
CMP-095;Google Ads;19227;;;15;;328.0;602.0;21.87
CMP-096;LinkedIn Ads;21287;;;12;;359.0;389.0;29.92
CMP-097;Facebook Ads;2967;;;1;;64.0;52.0;64.0
CMP-098;LinkedIn Ads;6786;;;5;;168.0;102.0;33.6
CMP-099;SEO;19737;;;40;;369.0;512.0;9.22
CMP-100;LinkedIn Ads;2192;;;2;;39.0;32.0;19.5
CMP-101;Google Ads;17395;;;26;;358.0;667.0;13.77
CMP-102;Email;3645;;;11;;89.0;132.0;8.09
CMP-103;Email;2547;;;17;;52.0;162.0;3.06
CMP-104;Google Ads;1373;;;2;;28.0;37.0;14.0
CMP-105;LinkedIn Ads;18747;;;20;;397.0;340.0;19.85
CMP-106;LinkedIn Ads;2858;;;2;;52.0;51.0;26.0
CMP-107;LinkedIn Ads;9739;;;7;;174.0;119.0;24.86
CMP-108;Google Ads;11338;;;13;;220.0;370.0;16.92
CMP-109;Google Ads;6610;;;8;;140.0;155.0;17.5
CMP-110;Email;19440;;;77;;373.0;872.0;4.84
CMP-111;Email;5721;;;27;;123.0;294.0;4.56
CMP-112;Google Ads;12955;;;16;;296.0;471.0;18.5
CMP-113;LinkedIn Ads;11934;;;14;;288.0;229.0;20.57
CMP-114;SEO;28142;;;39;;499.0;520.0;12.79
CMP-115;Google Ads;9433;;;8;;167.0;264.0;20.88
CMP-116;SEO;4058;;;2;;70.0;65.0;35.0
CMP-117;Facebook Ads;1262;;;1;;28.0;39.0;28.0
CMP-118;Email;19633;;;70;;396.0;1119.0;5.66
CMP-119;Email;21242;;;73;;364.0;1169.0;4.99
CMP-120;Google Ads;14074;;;21;;269.0;532.0;12.81
CMP-121;Google Ads;12559;;;20;;222.0;386.0;11.1
CMP-122;Facebook Ads;6600;;;3;;114.0;173.0;38.0
CMP-123;Email;6248;;;14;;130.0;268.0;9.29
CMP-124;SEO;22937;;;28;;453.0;498.0;16.18
CMP-125;SEO;20337;;;29;;376.0;522.0;12.97
CMP-126;LinkedIn Ads;13177;;;7;;278.0;214.0;39.71
CMP-127;Email;21990;;;48;;379.0;906.0;7.9
CMP-128;SEO;6918;;;6;;131.0;146.0;21.83
CMP-129;Facebook Ads;24844;;;18;;460.0;698.0;25.56
CMP-130;Email;17415;;;100;;357.0;1110.0;3.57
CMP-131;Email;7542;;;22;;168.0;462.0;7.64
CMP-132;Facebook Ads;19019;;;15;;437.0;388.0;29.13
CMP-133;LinkedIn Ads;12200;;;7;;281.0;160.0;40.14
CMP-134;Facebook Ads;3791;;;3;;88.0;111.0;29.33
CMP-135;LinkedIn Ads;10058;;;9;;182.0;140.0;20.22
CMP-136;LinkedIn Ads;23663;;;15;;495.0;419.0;33.0
CMP-137;Facebook Ads;21711;;;11;;480.0;585.0;43.64
CMP-138;Google Ads;26159;;;34;;491.0;659.0;14.44
CMP-139;Facebook Ads;11606;;;15;;202.0;372.0;13.47
