Reservation_ID;Canal_Booking;Prix_Nuit_Euros;Duree_Sejour_Jours;Delai_Reservation_Jours;Taux_Annulation_Pct;Revenu_Total_Euros;Type_Chambre;Saison;Duree_Sejour_Nuits;Taux_Occupation_Pct
RES-082;;200.0;;;;;Suite;Hiver;1.0;66.2
RES-083;;108.0;;;;;Supérieure;Automne;4.0;75.1
RES-084;;110.0;;;;;Supérieure;Automne;2.0;55.0
RES-085;;183.0;;;;;Supérieure;Été;4.0;89.6
RES-086;;286.0;;;;;Suite;Printemps;3.0;70.9
RES-087;;109.0;;;;;Supérieure;Automne;4.0;70.2
RES-088;;110.0;;;;;Supérieure;Automne;3.0;61.9
RES-089;;161.0;;;;;Supérieure;Été;6.0;86.8
RES-090;;122.0;;;;;Standard;Été;6.0;100.0
RES-091;;112.0;;;;;Supérieure;Printemps;4.0;80.1
RES-092;;68.0;;;;;Standard;Automne;2.0;83.6
RES-093;;109.0;;;;;Supérieure;Automne;3.0;75.8
RES-094;;160.0;;;;;Deluxe;Automne;4.0;60.6
RES-095;;302.0;;;;;Suite;Printemps;3.0;80.3
RES-096;;107.0;;;;;Standard;Été;6.0;100.0
RES-097;;104.0;;;;;Supérieure;Automne;3.0;58.8
RES-098;;98.0;;;;;Supérieure;Automne;3.0;64.0
RES-099;;92.0;;;;;Supérieure;Hiver;1.0;58.9
RES-100;;113.0;;;;;Supérieure;Automne;4.0;56.2
RES-101;;68.0;;;;;Standard;Automne;2.0;73.2
RES-102;;116.0;;;;;Standard;Été;4.0;100.0
RES-103;;107.0;;;;;Supérieure;Automne;3.0;68.3
RES-104;;78.0;;;;;Standard;Automne;4.0;74.0
RES-105;;124.0;;;;;Supérieure;Printemps;3.0;79.5
RES-106;;152.0;;;;;Supérieure;Été;6.0;94.9
RES-107;;121.0;;;;;Standard;Été;4.0;87.0
RES-108;;108.0;;;;;Supérieure;Automne;3.0;70.0
RES-109;;188.0;;;;;Deluxe;Printemps;4.0;84.0
RES-110;;127.0;;;;;Deluxe;Hiver;1.0;48.7
RES-111;;262.0;;;;;Suite;Automne;3.0;72.3
RES-112;;115.0;;;;;Deluxe;Hiver;3.0;41.8
RES-113;;230.0;;;;;Deluxe;Été;4.0;87.1
RES-114;;58.0;;;;;Standard;Hiver;3.0;61.0
RES-115;;172.0;;;;;Deluxe;Printemps;2.0;69.5
RES-116;;122.0;;;;;Supérieure;Printemps;3.0;78.3
RES-117;;290.0;;;;;Suite;Automne;4.0;64.1
RES-118;;120.0;;;;;Supérieure;Printemps;2.0;61.9
RES-119;;146.0;;;;;Deluxe;Automne;2.0;67.8
