Date;Region;Prix_Unitaire;Quantite_Vendue;Budget_Pub;Remise_Pct;Chiffre_Affaires;Satisfaction_Client
2026-09-27;Nord;16.0;138;1031;0;2208.0;9.7
2026-10-04;IDF;15.5;119;337;0;1844.5;8.3
2026-10-11;Grand Est;14.5;89;377;0;1290.5;7.9
2026-10-18;Occitanie;13.5;65;283;0;877.5;7.6
2026-10-25;Nord;16.0;161;794;0;2576.0;9.5
2026-11-01;PACA;14.0;82;327;0;1148.0;7.2
2026-11-08;IDF;15.5;76;469;0;1178.0;7.7
2026-11-15;Occitanie;13.5;123;290;0;1660.5;7.7
2026-11-22;Occitanie;13.5;105;287;10;1275.75;7.2
2026-11-29;PACA;14.0;116;343;0;1624.0;7.8
2026-12-06;IDF;15.5;158;512;0;2449.0;8.0
2026-12-13;PACA;14.0;165;291;0;2310.0;7.7
2026-12-20;Occitanie;13.5;92;282;5;1179.9;7.2
2026-12-27;PACA;14.0;202;412;0;2828.0;7.6
2027-01-03;IDF;15.5;128;562;0;1984.0;8.4
2027-01-10;Grand Est;14.5;235;618;0;3407.5;8.6
2027-01-17;IDF;15.5;106;633;0;1643.0;8.2
2027-01-24;Grand Est;14.5;102;471;0;1479.0;7.1
2027-01-31;Occitanie;13.5;273;437;0;3685.5;7.3
2027-02-07;Occitanie;13.5;133;403;0;1795.5;7.2
2027-02-14;Hauts de France;15.0;199;742;10;2686.5;7.5
2027-02-21;IDF;15.5;101;813;0;1565.5;8.1
2027-02-28;Nord;16.0;184;1340;0;2944.0;9.2
2027-03-07;PACA;14.0;163;595;0;2282.0;7.1
2027-03-14;PACA;14.0;176;520;0;2464.0;7.8
2027-03-21;Hauts de France;15.0;182;687;0;2730.0;7.5
2027-03-28;Grand Est;14.5;232;577;0;3364.0;7.7
2027-04-04;Grand Est;14.5;183;603;0;2653.5;7.9
2027-04-11;Grand Est;14.5;218;608;0;3161.0;7.8
2027-04-18;PACA;14.0;216;534;0;3024.0;7.8
2027-04-25;PACA;14.0;142;551;0;1988.0;7.1
2027-05-02;PACA;14.0;282;514;5;3750.6;7.6
2027-05-09;Grand Est;14.5;263;725;0;3813.5;7.6
2027-05-16;Hauts de France;15.0;281;721;0;4215.0;8.2
2027-05-23;Nord;16.0;276;1297;0;4416.0;9.4
2027-05-30;IDF;15.5;98;590;0;1519.0;7.7
2027-06-06;Hauts de France;15.0;116;728;0;1740.0;7.3
2027-06-13;Occitanie;13.5;272;389;0;3672.0;7.5
2027-06-20;Occitanie;13.5;210;448;0;2835.0;7.7
2027-06-27;Hauts de France;15.0;228;495;5;3249.0;7.6
2027-07-04;IDF;15.5;181;480;0;2805.5;8.5
2027-07-11;Grand Est;14.5;124;484;0;1798.0;7.9
2027-07-18;PACA;14.0;176;342;0;2464.0;6.9
2027-07-25;PACA;14.0;169;338;10;2129.4;7.1
2027-08-01;Grand Est;14.5;113;435;5;1556.57;7.3
2027-08-08;PACA;14.0;150;358;5;1995.0;7.5
2027-08-15;Grand Est;14.5;143;379;0;2073.5;7.7
2027-08-22;Grand Est;14.5;110;313;0;1595.0;8.7
2027-08-29;Nord;16.0;122;1160;0;1952.0;8.9
2027-09-05;IDF;15.5;82;487;0;1271.0;8.1
2027-09-12;Nord;16.0;87;920;0;1392.0;9.2
2027-09-19;Grand Est;14.5;125;324;0;1812.5;7.0
2027-09-26;Nord;16.0;111;739;0;1776.0;9.2
2027-10-03;PACA;14.0;105;318;0;1470.0;7.8
2027-10-10;IDF;15.5;106;393;10;1478.7;7.6
2027-10-17;Hauts de France;15.0;115;338;0;1725.0;8.0
2027-10-24;Grand Est;14.5;78;349;5;1074.45;7.8
2027-10-31;Occitanie;13.5;77;278;5;987.52;7.3
2027-11-07;IDF;15.5;184;509;0;2852.0;8.3
2027-11-14;IDF;15.5;171;403;0;2650.5;8.3
2027-11-21;Occitanie;13.5;148;331;0;1998.0;7.8
2027-11-28;Nord;16.0;205;1204;0;3280.0;9.1
2027-12-05;Hauts de France;15.0;72;435;5;1026.0;7.5
2027-12-12;Occitanie;13.5;201;265;10;2442.15;7.2
2027-12-19;Nord;16.0;86;1074;0;1376.0;9.1
2027-12-26;Grand Est;14.5;89;557;0;1290.5;7.6
2028-01-02;Nord;16.0;93;1399;0;1488.0;9.9
2028-01-09;PACA;14.0;98;402;0;1372.0;7.8
2028-01-16;Nord;16.0;247;1378;0;3952.0;9.0
2028-01-23;Grand Est;14.5;117;526;0;1696.5;7.6
2028-01-30;Nord;16.0;131;1254;0;2096.0;9.4
2028-02-06;Occitanie;13.5;105;415;0;1417.5;8.5
2028-02-13;Hauts de France;15.0;167;697;0;2505.0;8.5
2028-02-20;Occitanie;13.5;100;345;10;1215.0;7.3
2028-02-27;Nord;16.0;253;1370;0;4048.0;9.6
2028-03-05;IDF;15.5;263;713;0;4076.5;8.2
2028-03-12;IDF;15.5;158;717;10;2204.1;6.9
2028-03-19;PACA;14.0;135;599;0;1890.0;7.4
2028-03-26;Nord;16.0;138;1593;0;2208.0;9.7
2028-04-02;PACA;14.0;295;460;0;4130.0;7.1
2028-04-09;IDF;15.5;159;914;0;2464.5;8.3
2028-04-16;Occitanie;13.5;236;466;0;3186.0;7.8
2028-04-23;IDF;15.5;144;735;0;2232.0;8.6
2028-04-30;Nord;16.0;140;1488;0;2240.0;9.0
2028-05-07;Occitanie;13.5;250;473;0;3375.0;7.2
2028-05-14;PACA;14.0;162;405;0;2268.0;7.4
2028-05-21;IDF;15.5;249;717;0;3859.5;8.3
2028-05-28;Hauts de France;15.0;118;592;0;1770.0;7.9
2028-06-04;Nord;16.0;281;1695;0;4496.0;8.7
2028-06-11;Hauts de France;15.0;235;593;0;3525.0;8.0
2028-06-18;Hauts de France;15.0;170;521;0;2550.0;8.5
2028-06-25;PACA;14.0;236;372;0;3304.0;7.3
2028-07-02;Hauts de France;15.0;87;616;0;1305.0;7.9
2028-07-09;Nord;16.0;223;1151;5;3389.6;8.7
2028-07-16;PACA;14.0;123;368;0;1722.0;7.9
2028-07-23;IDF;15.5;156;537;5;2297.1;8.3
2028-07-30;Grand Est;14.5;160;356;0;2320.0;8.0
2028-08-06;Hauts de France;15.0;183;433;0;2745.0;8.1
2028-08-13;IDF;15.5;67;409;0;1038.5;8.2
2028-08-20;Nord;16.0;99;1058;0;1584.0;9.3
2028-08-27;Grand Est;14.5;103;317;5;1418.83;7.5
2028-09-03;Hauts de France;15.0;88;464;0;1320.0;7.9
2028-09-10;Hauts de France;15.0;152;370;0;2280.0;7.8
2028-09-17;IDF;15.5;156;341;15;2055.3;7.4
2028-09-24;Grand Est;14.5;56;407;0;812.0;8.2
2028-10-01;Grand Est;14.5;100;311;15;1232.5;7.2
2028-10-08;Nord;16.0;73;1035;0;1168.0;9.1
2028-10-15;Hauts de France;15.0;98;365;5;1396.5;7.6
2028-10-22;Occitanie;13.5;85;272;0;1147.5;7.2
2028-10-29;Occitanie;13.5;137;223;0;1849.5;7.7
2025-09-14;Occitanie;13.5;159;216;0;2146.5;8.3
2025-09-21;PACA;14.0;130;330;0;1820.0;7.2
2025-09-28;Grand Est;14.5;169;395;0;2450.5;7.9
2025-10-05;IDF;15.5;160;418;15;2108.0;7.8
2025-10-12;Nord;16.0;111;754;0;1776.0;9.1
2025-10-19;Grand Est;14.5;149;407;5;2052.47;7.6
2025-10-26;IDF;15.5;156;516;0;2418.0;8.0
2025-11-02;Grand Est;14.5;87;337;0;1261.5;7.5
2025-11-09;Occitanie;13.5;159;309;0;2146.5;7.2
2025-11-16;Nord;16.0;124;1089;5;1884.8;9.0
2025-11-23;IDF;15.5;120;386;10;1674.0;7.5
2025-11-30;PACA;14.0;146;308;0;2044.0;7.7
2025-12-07;PACA;14.0;158;309;0;2212.0;7.7
2025-12-14;Hauts de France;15.0;193;548;0;2895.0;8.3
2025-12-21;Hauts de France;15.0;212;502;0;3180.0;8.0
2025-12-28;Hauts de France;15.0;84;622;0;1260.0;7.7
2026-01-04;Nord;16.0;160;1503;0;2560.0;9.2
2026-01-11;Nord;16.0;181;1510;0;2896.0;9.1
2026-01-18;Hauts de France;15.0;211;604;0;3165.0;8.6
2026-01-25;Grand Est;14.5;213;547;0;3088.5;7.5
2026-02-01;Occitanie;13.5;191;344;0;2578.5;7.8
2026-02-08;Occitanie;13.5;257;382;0;3469.5;7.9
2026-02-15;PACA;14.0;149;463;0;2086.0;7.4
2026-02-22;Occitanie;13.5;120;387;0;1620.0;7.7
2026-03-01;Occitanie;13.5;138;492;0;1863.0;7.5
2026-03-08;Hauts de France;15.0;121;790;0;1815.0;8.7
2026-03-15;Occitanie;13.5;207;427;0;2794.5;7.9
2026-03-22;PACA;14.0;107;457;10;1348.2;7.0
2026-03-29;Hauts de France;15.0;312;849;0;4680.0;7.9
2026-04-05;Occitanie;13.5;301;409;0;4063.5;7.8
2026-04-12;Grand Est;14.5;121;543;0;1754.5;7.7
2026-04-19;Hauts de France;15.0;136;750;0;2040.0;8.3
2026-04-26;Nord;16.0;274;1340;0;4384.0;9.7
2026-05-03;Nord;16.0;106;1394;0;1696.0;8.8
2026-05-10;Grand Est;14.5;211;536;0;3059.5;7.8
2026-05-17;Nord;16.0;161;1700;10;2318.4;8.8
2026-05-24;Occitanie;13.5;153;436;10;1858.95;7.5
2026-05-31;Occitanie;13.5;97;434;0;1309.5;7.6
2026-06-07;PACA;14.0;119;492;0;1666.0;7.6
2026-06-14;Nord;16.0;257;1267;0;4112.0;9.1
2026-06-21;IDF;15.5;262;751;0;4061.0;8.4
2026-06-28;Grand Est;14.5;205;536;0;2972.5;8.2
2026-07-05;Hauts de France;15.0;240;650;0;3600.0;7.9
2026-07-12;Nord;16.0;99;1213;0;1584.0;9.2
2026-07-19;PACA;14.0;181;385;5;2407.3;7.7
2026-07-26;PACA;14.0;190;401;5;2527.0;7.3
2026-08-02;Occitanie;13.5;157;297;0;2119.5;7.6
2026-08-09;PACA;14.0;82;351;0;1148.0;8.1
2026-08-16;PACA;14.0;152;327;5;2021.6;7.2
2026-08-23;Nord;16.0;71;1043;0;1136.0;9.7
2026-08-30;Occitanie;13.5;82;229;5;1051.65;6.8
2026-09-06;Grand Est;14.5;96;353;0;1392.0;7.1
2026-09-13;PACA;14.0;166;238;0;2324.0;7.1
2026-09-20;IDF;15.5;68;351;10;948.6;7.3
2026-09-27;Grand Est;14.5;66;388;0;957.0;8.0
2026-10-04;Occitanie;13.5;118;233;10;1433.7;7.0
2026-10-11;Occitanie;13.5;159;264;10;1931.85;7.1
2026-10-18;Grand Est;14.5;124;347;0;1798.0;7.7
2026-10-25;IDF;15.5;171;464;0;2650.5;8.1
2026-11-01;Occitanie;13.5;75;285;5;961.88;6.8
2026-11-08;Occitanie;13.5;78;250;5;1000.35;7.6
2026-11-15;Hauts de France;15.0;99;477;0;1485.0;8.4
2026-11-22;PACA;14.0;161;380;0;2254.0;7.4
2026-11-29;Occitanie;13.5;77;248;0;1039.5;7.6
2026-12-06;Nord;16.0;214;1152;5;3252.8;8.6
2026-12-13;Grand Est;14.5;84;405;5;1157.1;7.6
2026-12-20;PACA;14.0;210;328;0;2940.0;7.3
2026-12-27;Occitanie;13.5;116;313;10;1409.4;7.6
2027-01-03;Hauts de France;15.0;130;647;5;1852.5;7.3
2027-01-10;IDF;15.5;242;716;0;3751.0;8.1
2027-01-17;IDF;15.5;199;533;0;3084.5;8.4
2027-01-24;Nord;16.0;255;1357;10;3672.0;8.2
2027-01-31;Occitanie;13.5;113;371;0;1525.5;7.6
2027-02-07;PACA;14.0;94;457;0;1316.0;7.5
2027-02-14;Occitanie;13.5;105;462;0;1417.5;7.7
2027-02-21;Occitanie;13.5;277;504;0;3739.5;7.5
2027-02-28;Hauts de France;15.0;117;661;0;1755.0;7.8
2027-03-07;Nord;16.0;170;1615;0;2720.0;8.8
2027-03-14;IDF;15.5;117;708;0;1813.5;8.3
2027-03-21;Hauts de France;15.0;193;628;0;2895.0;7.5
2027-03-28;IDF;15.5;140;909;0;2170.0;8.4
2027-04-04;Grand Est;14.5;183;577;0;2653.5;8.2
2027-04-11;Nord;16.0;128;1997;0;2048.0;9.1
2027-04-18;Grand Est;14.5;156;662;5;2148.9;7.5
2027-04-25;Hauts de France;15.0;185;830;0;2775.0;8.2
2027-05-02;Hauts de France;15.0;245;747;0;3675.0;8.4
2027-05-09;Hauts de France;15.0;182;662;0;2730.0;8.6
2027-05-16;Hauts de France;15.0;215;653;0;3225.0;7.9
2027-05-23;PACA;14.0;298;438;0;4172.0;7.5
2027-05-30;Occitanie;13.5;152;429;0;2052.0;7.5
2027-06-06;Hauts de France;15.0;164;702;0;2460.0;8.3
2027-06-13;Hauts de France;15.0;137;621;0;2055.0;8.4
2027-06-20;Nord;16.0;186;1258;10;2678.4;9.1
2027-06-27;Nord;16.0;131;1168;0;2096.0;8.9
2027-07-04;Occitanie;13.5;115;294;0;1552.5;7.8
2027-07-11;IDF;15.5;93;647;0;1441.5;8.6
2027-07-18;Nord;16.0;86;1152;0;1376.0;9.5
2027-07-25;Occitanie;13.5;112;261;0;1512.0;7.3
2027-08-01;PACA;14.0;155;362;5;2061.5;7.0
2027-08-08;PACA;14.0;97;272;0;1358.0;8.0
2027-08-15;Grand Est;14.5;164;324;0;2378.0;7.6
2027-08-22;IDF;15.5;156;390;0;2418.0;7.7
2027-08-29;PACA;14.0;128;292;5;1702.4;7.3
2027-09-05;Grand Est;14.5;138;416;0;2001.0;7.6
2027-09-12;IDF;15.5;108;506;5;1590.3;7.8
2027-09-19;Occitanie;13.5;66;226;0;891.0;8.2
2027-09-26;Hauts de France;15.0;136;461;0;2040.0;8.1
2027-10-03;IDF;15.5;160;429;0;2480.0;8.2
2027-10-10;PACA;14.0;63;274;10;793.8;6.9
2027-10-17;Hauts de France;15.0;88;371;15;1122.0;7.2
2027-10-24;Occitanie;13.5;173;299;5;2218.72;7.0
2027-10-31;Hauts de France;15.0;122;386;0;1830.0;7.7
2027-11-07;Occitanie;13.5;158;219;0;2133.0;8.2
2027-11-14;Grand Est;14.5;151;338;5;2080.03;7.6
2027-11-21;Grand Est;14.5;142;452;5;1956.05;7.7
2027-11-28;IDF;15.5;150;585;0;2325.0;8.1
2027-12-05;PACA;14.0;206;386;15;2451.4;6.8
2027-12-12;Grand Est;14.5;139;391;0;2015.5;7.9
2027-12-19;PACA;14.0;90;330;0;1260.0;7.6
2027-12-26;Hauts de France;15.0;119;430;0;1785.0;8.4
2028-01-02;Hauts de France;15.0;199;580;0;2985.0;7.8
2028-01-09;IDF;15.5;113;607;0;1751.5;8.5
2028-01-16;Grand Est;14.5;161;530;0;2334.5;7.8
2028-01-23;Nord;16.0;157;1705;5;2386.4;8.9
2028-01-30;IDF;15.5;116;698;0;1798.0;8.3
2028-02-06;Occitanie;13.5;173;377;0;2335.5;7.1
2028-02-13;PACA;14.0;153;504;0;2142.0;7.8
2028-02-20;Occitanie;13.5;273;433;0;3685.5;7.3
2028-02-27;Occitanie;13.5;165;473;0;2227.5;7.9
2028-03-05;Nord;16.0;187;1909;0;2992.0;9.0
2028-03-12;Occitanie;13.5;220;428;0;2970.0;8.0
2028-03-19;Hauts de France;15.0;256;662;0;3840.0;8.1
2028-03-26;IDF;15.5;199;669;0;3084.5;8.4
2028-04-02;Hauts de France;15.0;295;840;0;4425.0;7.7
2028-04-09;Nord;16.0;269;1432;0;4304.0;9.0
2028-04-16;Grand Est;14.5;136;740;5;1873.4;7.7
2028-04-23;Occitanie;13.5;135;483;0;1822.5;7.6
2028-04-30;Occitanie;13.5;212;416;0;2862.0;7.5
2028-05-07;Occitanie;13.5;119;521;0;1606.5;7.9
2028-05-14;PACA;14.0;222;483;5;2952.6;7.2
2028-05-21;Occitanie;13.5;260;410;0;3510.0;7.8
2028-05-28;PACA;14.0;208;488;0;2912.0;7.6
2028-06-04;Nord;16.0;239;1400;0;3824.0;8.7
2028-06-11;IDF;15.5;90;692;0;1395.0;8.4
2028-06-18;PACA;14.0;246;497;0;3444.0;7.2
2028-06-25;Occitanie;13.5;222;297;5;2847.15;7.7
2028-07-02;Hauts de France;15.0;153;444;0;2295.0;8.1
2028-07-09;IDF;15.5;82;599;0;1271.0;8.5
2028-07-16;IDF;15.5;198;475;0;3069.0;8.4
2028-07-23;Hauts de France;15.0;121;398;0;1815.0;7.9
2028-07-30;Hauts de France;15.0;95;444;0;1425.0;7.9
2028-08-06;Grand Est;14.5;203;399;10;2649.15;7.7
2028-08-13;Grand Est;14.5;169;408;5;2327.97;7.8
2028-08-20;Occitanie;13.5;136;322;0;1836.0;7.7
2028-08-27;IDF;15.5;61;433;0;945.5;8.0
2028-09-03;Grand Est;14.5;92;303;0;1334.0;7.5
2028-09-10;IDF;15.5;61;515;10;850.95;7.5
2028-09-17;IDF;15.5;92;396;5;1354.7;8.4
2028-09-24;IDF;15.5;66;390;0;1023.0;7.7
2028-10-01;Hauts de France;15.0;174;396;5;2479.5;7.5
2028-10-08;PACA;14.0;165;248;0;2310.0;7.1
2028-10-15;Hauts de France;15.0;175;427;0;2625.0;7.9
2028-10-22;Nord;16.0;110;949;10;1584.0;8.6
2028-10-29;Grand Est;14.5;171;320;0;2479.5;7.8
