Machine_ID;Type_Machine;Vibrations_Hz;Temperature_C;Pression_Bar;Heures_Fonctionnement;Anomalies_Comptees;Type_Equipement;Age_Heures;Derniere_Maintenance_Jours;Temperature_Operation_C;Vibration_Niveau;Probabilite_Panne_Pct
MAC-040;;;;;;;Presse;11085.0;160.0;64.9;4.6;55.5
MAC-041;;;;;;;Pompe;10160.0;92.0;79.6;4.3;28.6
MAC-042;;;;;;;Convoyeur;2474.0;63.0;55.4;4.4;11.9
MAC-043;;;;;;;Compresseur;17713.0;14.0;86.3;5.0;35.0
MAC-044;;;;;;;Compresseur;6504.0;47.0;83.9;2.9;9.5
MAC-045;;;;;;;Moteur;15042.0;162.0;43.6;4.8;85.7
MAC-046;;;;;;;Moteur;14990.0;51.0;83.2;6.5;47.6
MAC-047;;;;;;;Compresseur;13915.0;71.0;61.2;4.5;36.0
MAC-048;;;;;;;Presse;10725.0;13.0;76.2;4.0;14.7
MAC-049;;;;;;;Pompe;16672.0;39.0;52.0;6.1;46.7
MAC-050;;;;;;;Presse;4131.0;128.0;74.9;2.9;15.2
MAC-051;;;;;;;Presse;14145.0;170.0;75.7;5.3;91.1
MAC-052;;;;;;;Moteur;19333.0;59.0;88.3;5.0;58.3
MAC-053;;;;;;;Compresseur;6990.0;95.0;104.5;3.9;19.5
MAC-054;;;;;;;Convoyeur;13306.0;45.0;78.3;4.7;28.4
MAC-055;;;;;;;Pompe;12591.0;16.0;67.1;6.6;28.8
MAC-056;;;;;;;Pompe;6195.0;74.0;59.5;3.9;15.3
MAC-057;;;;;;;Pompe;2104.0;19.0;59.6;1.9;3.9
MAC-058;;;;;;;Compresseur;8796.0;103.0;68.0;3.1;20.1
MAC-059;;;;;;;Moteur;3379.0;70.0;22.9;2.8;8.8
MAC-060;;;;;;;Moteur;4398.0;9.0;63.6;2.7;5.6
MAC-061;;;;;;;Pompe;14151.0;64.0;77.0;5.3;40.3
MAC-062;;;;;;;Convoyeur;3113.0;135.0;46.9;2.6;13.5
MAC-063;;;;;;;Pompe;6807.0;130.0;61.2;4.4;28.5
MAC-064;;;;;;;Convoyeur;4061.0;60.0;66.7;2.3;7.1
MAC-065;;;;;;;Presse;7893.0;33.0;62.5;4.7;15.0
MAC-066;;;;;;;Pompe;11143.0;44.0;96.4;3.5;17.4
MAC-067;;;;;;;Pompe;6854.0;151.0;54.1;4.0;30.3
MAC-068;;;;;;;Presse;7139.0;169.0;50.0;4.1;35.8
MAC-069;;;;;;;Pompe;11755.0;56.0;95.4;5.3;30.2
MAC-070;;;;;;;Pompe;16127.0;128.0;78.8;3.8;60.1
MAC-071;;;;;;;Presse;2871.0;66.0;62.7;2.7;8.1
MAC-072;;;;;;;Compresseur;4644.0;56.0;68.5;1.6;5.1
MAC-073;;;;;;;Compresseur;17039.0;69.0;45.8;6.0;61.5
MAC-074;;;;;;;Pompe;1153.0;14.0;79.2;1.1;2.2
MAC-075;;;;;;;Convoyeur;13995.0;62.0;28.4;4.2;31.7
MAC-076;;;;;;;Compresseur;5407.0;120.0;53.4;3.2;17.6
MAC-077;;;;;;;Pompe;8463.0;60.0;27.6;6.0;25.1
MAC-078;;;;;;;Presse;19158.0;163.0;80.4;5.3;95.0
MAC-079;;;;;;;Compresseur;5969.0;66.0;81.3;3.4;12.5
MAC-080;;;;;;;Presse;8036.0;152.0;53.6;3.9;33.6
MAC-081;;;;;;;Moteur;18234.0;76.0;45.8;5.9;71.6
MAC-082;;;;;;;Compresseur;5769.0;114.0;75.3;4.0;20.9
MAC-083;;;;;;;Pompe;7878.0;77.0;68.0;3.6;17.3
MAC-084;;;;;;;Pompe;7083.0;117.0;68.6;2.0;13.1
MAC-085;;;;;;;Pompe;18526.0;123.0;46.1;5.0;92.8
MAC-086;;;;;;;Compresseur;12130.0;20.0;81.5;2.7;12.6
MAC-087;;;;;;;Compresseur;13873.0;12.0;74.0;5.5;26.8
MAC-088;;;;;;;Presse;14652.0;72.0;56.2;4.4;38.2
MAC-089;;;;;;;Moteur;7068.0;18.0;96.8;4.5;11.9
MAC-090;;;;;;;Convoyeur;17593.0;92.0;55.2;6.0;79.4
MAC-091;;;;;;;Moteur;5313.0;130.0;74.0;1.5;9.6
MAC-092;;;;;;;Compresseur;19345.0;149.0;52.3;6.0;95.0
MAC-093;;;;;;;Pompe;7585.0;90.0;54.7;2.6;14.0
MAC-094;;;;;;;Compresseur;9479.0;67.0;84.0;4.2;21.0
MAC-095;;;;;;;Moteur;15201.0;1.0;76.9;5.8;30.5
MAC-096;;;;;;;Pompe;2439.0;9.0;74.0;3.1;5.7
MAC-097;;;;;;;Pompe;4618.0;176.0;100.5;2.9;21.8
MAC-098;;;;;;;Moteur;17707.0;89.0;75.6;4.5;59.7
MAC-099;;;;;;;Convoyeur;7064.0;17.0;87.0;3.5;9.2
MAC-100;;;;;;;Convoyeur;19040.0;156.0;69.7;4.2;95.0
MAC-101;;;;;;;Moteur;1694.0;60.0;95.3;3.4;8.9
MAC-102;;;;;;;Convoyeur;5879.0;52.0;102.5;3.2;10.2
MAC-103;;;;;;;Presse;14995.0;97.0;52.4;4.9;53.9
MAC-104;;;;;;;Pompe;13521.0;81.0;60.1;3.6;30.8
MAC-105;;;;;;;Compresseur;4752.0;28.0;88.6;3.5;8.2
MAC-106;;;;;;;Presse;8432.0;91.0;53.4;2.3;13.4
MAC-107;;;;;;;Compresseur;11314.0;85.0;82.5;3.4;24.8
MAC-108;;;;;;;Convoyeur;19368.0;128.0;56.0;5.4;95.0
MAC-109;;;;;;;Pompe;17605.0;126.0;78.7;6.6;95.0
