Batiment_ID;Usage_Batiment;Surface_Chauffee_M2;Temperature_Exterieure_C;Isolation_DPE;Consommation_KWh;Facture_Electricite_Euros;Type_Batiment;Surface_M2;Age_Annees;Isolation_Note
BAT-036;;;5.6;;194246;;Résidentiel;4000.0;35.0;5.0
BAT-037;;;5.3;;149677;;Hôpital;4568.0;9.0;3.0
BAT-038;;;5.1;;278086;;École;3947.0;48.0;4.0
BAT-039;;;5.0;;192475;;Commerce;4059.0;14.0;2.0
BAT-040;;;5.1;;111300;;Commerce;1887.0;35.0;3.0
BAT-041;;;5.3;;143799;;Hôpital;3539.0;37.0;9.0
BAT-042;;;5.6;;133758;;Commerce;2573.0;43.0;4.0
BAT-043;;;6.1;;103971;;Hôpital;2610.0;8.0;3.0
BAT-044;;;6.8;;151052;;Résidentiel;3344.0;7.0;1.0
BAT-045;;;7.5;;181898;;Résidentiel;3902.0;28.0;1.0
BAT-046;;;8.4;;100880;;École;1689.0;29.0;2.0
BAT-047;;;9.3;;40493;;Résidentiel;858.0;42.0;8.0
BAT-048;;;10.4;;214315;;Résidentiel;4368.0;23.0;1.0
BAT-049;;;11.5;;93804;;Hôpital;2030.0;34.0;2.0
BAT-050;;;12.6;;83570;;École;2465.0;17.0;3.0
BAT-051;;;13.8;;34579;;École;749.0;39.0;5.0
BAT-052;;;15.0;;197119;;Hôpital;4626.0;12.0;1.0
BAT-053;;;16.2;;11972;;Résidentiel;620.0;13.0;9.0
BAT-054;;;17.4;;110965;;Commerce;3305.0;42.0;9.0
BAT-055;;;18.5;;137952;;Résidentiel;3908.0;33.0;4.0
BAT-056;;;19.6;;65643;;École;4049.0;9.0;9.0
BAT-057;;;20.7;;112131;;École;3632.0;4.0;2.0
BAT-058;;;21.6;;19348;;Hôpital;585.0;43.0;8.0
BAT-059;;;22.5;;104333;;Commerce;3061.0;25.0;3.0
BAT-060;;;23.2;;14560;;Résidentiel;258.0;48.0;6.0
BAT-061;;;23.9;;169509;;Bureau;4325.0;42.0;8.0
BAT-062;;;24.4;;115231;;École;2821.0;28.0;3.0
BAT-063;;;24.7;;125854;;Bureau;1997.0;45.0;4.0
BAT-064;;;24.9;;112554;;Hôpital;2941.0;15.0;1.0
BAT-065;;;25.0;;25631;;Hôpital;895.0;13.0;8.0
BAT-066;;;24.9;;12058;;Hôpital;445.0;29.0;9.0
BAT-067;;;24.7;;42239;;Bureau;1368.0;22.0;8.0
BAT-068;;;24.4;;88540;;École;2750.0;23.0;6.0
BAT-069;;;23.9;;139624;;Résidentiel;3852.0;11.0;2.0
BAT-070;;;23.2;;27833;;Commerce;1066.0;2.0;5.0
BAT-071;;;22.5;;30090;;Commerce;945.0;21.0;4.0
BAT-072;;;21.6;;200530;;Bureau;4704.0;46.0;4.0
BAT-073;;;20.7;;16134;;Commerce;458.0;35.0;7.0
BAT-074;;;19.6;;127630;;Bureau;3962.0;16.0;3.0
BAT-075;;;18.5;;116586;;Hôpital;3784.0;43.0;7.0
BAT-076;;;17.4;;129260;;Résidentiel;3794.0;32.0;8.0
BAT-077;;;16.2;;35641;;Résidentiel;1512.0;27.0;9.0
BAT-078;;;15.0;;157056;;Bureau;2924.0;40.0;1.0
BAT-079;;;13.8;;13223;;Hôpital;397.0;27.0;9.0
BAT-080;;;12.6;;198287;;Bureau;4653.0;35.0;3.0
BAT-081;;;11.5;;16082;;Hôpital;510.0;17.0;5.0
BAT-082;;;10.4;;88280;;Commerce;1501.0;38.0;3.0
BAT-083;;;9.3;;80464;;École;2235.0;14.0;1.0
BAT-084;;;8.4;;99130;;Bureau;2495.0;19.0;6.0
BAT-085;;;7.5;;117749;;Hôpital;3651.0;9.0;7.0
BAT-086;;;6.8;;34356;;Hôpital;1442.0;12.0;8.0
BAT-087;;;6.1;;153234;;Résidentiel;2500.0;37.0;5.0
BAT-088;;;5.6;;43570;;Résidentiel;1257.0;24.0;9.0
BAT-089;;;5.3;;274138;;Hôpital;3908.0;49.0;1.0
BAT-090;;;5.1;;83369;;École;2413.0;33.0;9.0
BAT-091;;;5.0;;153324;;Bureau;1981.0;42.0;2.0
BAT-092;;;5.1;;81995;;Résidentiel;1875.0;38.0;7.0
BAT-093;;;5.3;;58168;;Hôpital;2535.0;7.0;9.0
BAT-094;;;5.6;;253854;;Hôpital;4241.0;44.0;6.0
BAT-095;;;6.1;;64533;;Résidentiel;1683.0;5.0;2.0
BAT-096;;;6.8;;207260;;Commerce;4847.0;39.0;7.0
BAT-097;;;7.5;;134225;;Hôpital;4005.0;1.0;3.0
BAT-098;;;8.4;;323067;;Hôpital;4813.0;43.0;1.0
BAT-099;;;9.3;;203725;;École;3777.0;49.0;9.0
BAT-100;;;10.4;;41362;;Commerce;1360.0;6.0;3.0
BAT-101;;;11.5;;200123;;Hôpital;4427.0;41.0;8.0
BAT-102;;;12.6;;35334;;Commerce;646.0;43.0;2.0
BAT-103;;;13.8;;97376;;École;3258.0;21.0;9.0
BAT-104;;;15.0;;44420;;Hôpital;1196.0;44.0;9.0
BAT-105;;;16.2;;60352;;Hôpital;1984.0;15.0;4.0
BAT-106;;;17.4;;152787;;Bureau;4624.0;28.0;2.0
BAT-107;;;18.5;;10336;;École;332.0;29.0;9.0
BAT-108;;;19.6;;18656;;Bureau;642.0;22.0;8.0
BAT-109;;;20.7;;159526;;Bureau;3102.0;41.0;5.0
BAT-110;;;21.6;;165058;;Résidentiel;4783.0;37.0;5.0
BAT-111;;;22.5;;63391;;Hôpital;1665.0;37.0;6.0
BAT-112;;;23.2;;78782;;Commerce;3648.0;5.0;7.0
BAT-113;;;23.9;;15040;;Commerce;415.0;28.0;9.0
BAT-114;;;24.4;;126648;;Commerce;2679.0;26.0;3.0
BAT-115;;;24.7;;58225;;Bureau;2381.0;14.0;7.0
BAT-116;;;24.9;;240822;;Bureau;4303.0;43.0;3.0
BAT-117;;;25.0;;9076;;Résidentiel;340.0;8.0;4.0
BAT-118;;;24.9;;115249;;Commerce;2462.0;44.0;3.0
BAT-119;;;24.7;;135666;;Hôpital;3143.0;32.0;6.0
