Compte_ID;Plan_Souscrit;Utilisateurs_Actifs_Mensuels;Tickets_Support;MRR_Mensuel_Euros;Desabonnement_Churn
ACC-039;Pro;29;0;199;0
ACC-040;Starter;2;0;49;0
ACC-041;Pro;48;1;199;0
ACC-042;Pro;32;10;199;0
ACC-043;Enterprise;273;101;999;0
ACC-044;Enterprise;162;8;999;0
ACC-045;Enterprise;309;16;999;0
ACC-046;Starter;6;1;49;0
ACC-047;Starter;3;0;49;1
ACC-048;Pro;44;0;199;1
ACC-049;Starter;9;0;49;0
ACC-050;Pro;12;4;199;0
ACC-051;Pro;42;0;199;0
ACC-052;Pro;32;0;199;0
ACC-053;Starter;9;0;49;0
ACC-054;Starter;7;0;49;0
ACC-055;Starter;1;0;49;1
ACC-056;Enterprise;211;66;999;0
ACC-057;Pro;46;21;199;0
ACC-058;Pro;38;0;199;0
ACC-059;Starter;5;2;49;0
ACC-060;Starter;9;0;49;0
ACC-061;Pro;22;1;199;0
ACC-062;Starter;3;0;49;0
ACC-063;Starter;3;0;49;0
ACC-064;Starter;2;0;49;0
ACC-065;Starter;2;0;49;0
ACC-066;Pro;42;0;199;0
ACC-067;Starter;9;0;49;0
ACC-068;Starter;4;0;49;0
ACC-069;Enterprise;192;21;999;0
ACC-070;Starter;3;0;49;0
ACC-071;Enterprise;298;18;999;0
ACC-072;Pro;48;4;199;0
ACC-073;Pro;31;1;199;0
ACC-074;Starter;7;0;49;1
ACC-075;Pro;37;1;199;0
ACC-076;Pro;20;0;199;0
ACC-077;Starter;8;0;49;0
ACC-078;Starter;5;1;49;0
ACC-079;Starter;7;0;49;0
ACC-080;Starter;4;0;49;0
ACC-081;Starter;8;0;49;0
ACC-082;Starter;7;1;49;0
ACC-083;Starter;3;0;49;0
ACC-084;Enterprise;161;8;999;0
ACC-085;Pro;33;0;199;0
ACC-086;Pro;43;8;199;1
ACC-087;Starter;2;0;49;0
ACC-088;Starter;4;0;49;0
ACC-089;Enterprise;380;74;999;0
ACC-090;Pro;45;3;199;0
ACC-091;Starter;7;0;49;0
ACC-092;Starter;3;0;49;0
ACC-093;Pro;48;1;199;0
ACC-094;Pro;28;0;199;0
ACC-095;Enterprise;290;5;999;0
ACC-096;Pro;15;0;199;0
ACC-097;Starter;7;0;49;0
ACC-098;Pro;45;0;199;0
ACC-099;Pro;38;1;199;0
ACC-100;Starter;6;0;49;0
ACC-101;Pro;24;6;199;1
ACC-102;Starter;6;0;49;0
ACC-103;Starter;7;0;49;0
ACC-104;Enterprise;168;10;999;0
ACC-105;Pro;28;1;199;0
ACC-106;Pro;24;0;199;0
ACC-107;Starter;5;0;49;0
ACC-108;Pro;29;0;199;0
ACC-109;Starter;9;2;49;0
ACC-110;Pro;47;2;199;0
ACC-111;Starter;3;0;49;0
ACC-112;Starter;8;0;49;0
ACC-113;Pro;16;0;199;1
ACC-114;Enterprise;389;80;999;0
ACC-115;Starter;2;0;49;1
ACC-116;Pro;21;0;199;0
ACC-117;Starter;4;0;49;0
ACC-118;Pro;30;5;199;0
ACC-119;Starter;9;0;49;0
ACC-120;Pro;15;1;199;0
ACC-121;Pro;35;4;199;0
ACC-122;Starter;2;0;49;0
ACC-123;Pro;28;0;199;0
ACC-124;Pro;10;0;199;0
ACC-125;Enterprise;347;36;999;0
ACC-126;Starter;4;0;49;1
ACC-127;Pro;42;7;199;0
ACC-128;Pro;25;0;199;0
ACC-129;Pro;26;1;199;0
ACC-130;Starter;3;0;49;1
ACC-131;Enterprise;471;5;999;0
ACC-132;Starter;1;0;49;1
ACC-133;Pro;17;2;199;0
ACC-134;Pro;20;0;199;0
ACC-135;Enterprise;465;13;999;0
ACC-136;Starter;5;0;49;0
ACC-137;Starter;3;0;49;0
ACC-138;Pro;15;1;199;0
ACC-139;Pro;44;3;199;0
ACC-140;Starter;5;0;49;0
ACC-141;Starter;6;0;49;0
ACC-142;Starter;1;0;49;0
ACC-143;Pro;27;0;199;0
ACC-144;Pro;37;0;199;0
ACC-145;Pro;37;4;199;0
ACC-146;Starter;5;0;49;1
ACC-147;Pro;33;2;199;0
ACC-148;Starter;9;0;49;1
ACC-149;Pro;14;0;199;0
